iter	Logloss
0	0.6896991487
1	0.6854412478
2	0.6808260411
3	0.6772573412
4	0.6741263596
5	0.6715329999
6	0.6685559638
7	0.6650101424
8	0.6620865393
9	0.6605030565
10	0.6587144241
11	0.6565444974
12	0.6563324003
13	0.6533892669
14	0.6500262549
15	0.6475841388
16	0.6469230762
17	0.6440718571
18	0.641581521
19	0.6394860448
20	0.6359379759
21	0.6343421036
22	0.6320208863
23	0.6301962135
24	0.6281274024
25	0.6265310579
26	0.6264214548
27	0.6252758146
28	0.6249192118
29	0.6225306767
30	0.6203874038
31	0.6186782388
32	0.6164931846
33	0.6137366087
34	0.6112023099
35	0.6091573016
36	0.6076225344
37	0.6049792861
38	0.6028030068
39	0.6016991993
40	0.6003355523
41	0.5993104221
42	0.5968302675
43	0.5941477154
44	0.5923062346
45	0.5912061931
46	0.5899074113
47	0.5883812851
48	0.5869120858
49	0.5851309421
50	0.5837536114
51	0.5819874367
52	0.5804116515
53	0.5773576231
54	0.5753055656
55	0.5752375063
56	0.5736515522
57	0.5725090551
58	0.5711922232
59	0.5701573895
60	0.5673963657
61	0.5661249688
62	0.5646287542
63	0.5625924567
64	0.5607937261
65	0.55952842
66	0.5582310912
67	0.5550946736
68	0.5541208956
69	0.5530039056
70	0.5517739208
71	0.5510957737
72	0.5486810451
73	0.5469168011
74	0.5456973022
75	0.5437730431
76	0.5428383125
77	0.5415485051
78	0.5395253361
79	0.5384694536
80	0.5360995217
81	0.5353833203
82	0.533803161
83	0.5330591809
84	0.531582085
85	0.5296165061
86	0.5281944341
87	0.5265043327
88	0.5254677416
89	0.5250185109
90	0.5236884025
91	0.5221841292
92	0.5195780549
93	0.5184433769
94	0.5170317193
95	0.516253805
96	0.5141938019
97	0.5126830393
98	0.5115954145
99	0.5103005604
100	0.5095297276
101	0.5086433908
102	0.5075587265
103	0.5055532255
104	0.5046866406
105	0.5040198876
106	0.5034213705
107	0.502488647
108	0.5011423348
109	0.4997647874
110	0.4985340503
111	0.4971519502
112	0.4959275638
113	0.4938956056
114	0.4922751039
115	0.4913419332
116	0.4901678526
117	0.4896260405
118	0.4889080085
119	0.4869727482
120	0.485657704
121	0.4843382182
122	0.4841278443
123	0.4836188699
124	0.4827537477
125	0.4819371336
126	0.4798638964
127	0.4788141644
128	0.4774621665
129	0.476871374
130	0.476111718
131	0.4751886163
132	0.4743125029
133	0.4725728925
134	0.4709606369
135	0.4709350659
136	0.4699957187
137	0.4695093752
138	0.4688277783
139	0.4681500479
140	0.4667513149
141	0.465510816
142	0.4644088051
143	0.4628381598
144	0.4616967166
145	0.4602659023
146	0.459160736
147	0.4576235106
148	0.456798954
149	0.4565481477
150	0.4552644494
151	0.4534761831
152	0.4519115766
153	0.4506948977
154	0.449542051
155	0.4490935833
156	0.4476869137
157	0.4470104046
158	0.4448083537
159	0.4439325678
160	0.4425869887
161	0.4413907525
162	0.4395895253
163	0.4384285188
164	0.437283971
165	0.43651852
166	0.4359867797
167	0.4352166695
168	0.4332010676
169	0.4322485096
170	0.430779335
171	0.429146828
172	0.4286038448
173	0.4276092535
174	0.4262128486
175	0.4243514179
176	0.4229635028
177	0.4217949133
178	0.4203043827
179	0.4186722202
180	0.41774793
181	0.4161186665
182	0.4146956477
183	0.413141661
184	0.4116881134
185	0.4105588932
186	0.4093482353
187	0.4080540076
188	0.4071282262
189	0.4064317838
190	0.4056166552
191	0.4045218293
192	0.4037859075
193	0.4021330305
194	0.4008617134
195	0.3993371486
196	0.3981193579
197	0.3967536901
198	0.395303178
199	0.3943647415
200	0.3930931642
201	0.3915551843
202	0.390078584
203	0.3884127805
204	0.3874743523
205	0.3861867212
206	0.385020966
207	0.384250536
208	0.382980816
209	0.3815777106
210	0.3803185469
211	0.3784708851
212	0.3772293484
213	0.3762808801
214	0.3748086838
215	0.3738485652
216	0.372239108
217	0.3714717242
218	0.3702974973
219	0.3688423714
220	0.3665792723
221	0.3655341847
222	0.3640821294
223	0.3630439881
224	0.362080743
225	0.3612765892
226	0.359628209
227	0.3587476431
228	0.3572567379
229	0.3563876661
230	0.3553342468
231	0.3543253982
232	0.3527771536
233	0.3521686028
234	0.3514559301
235	0.3498755513
236	0.3492364915
237	0.3477453362
238	0.3460319206
239	0.3445817918
240	0.3437268663
241	0.3419277651
242	0.3407884229
243	0.3402943297
244	0.3394499568
245	0.3376019762
246	0.336264824
247	0.3351357563
248	0.3344317615
249	0.3334973909
250	0.3324485949
251	0.3310234217
252	0.3295696442
253	0.3282960273
254	0.3268154151
255	0.3256522426
256	0.3246410643
257	0.3236644807
258	0.322777877
259	0.3215386378
260	0.3203038882
261	0.3190960473
262	0.3177775136
263	0.3175795221
264	0.3169697498
265	0.3157589574
266	0.3148595602
267	0.3142560311
268	0.3136082799
269	0.3127383356
270	0.3115534182
271	0.3110623155
272	0.3106254064
273	0.3092904063
274	0.3079295002
