iter	Passed	Remaining
0	320	160104
1	426	106255
2	625	103637
3	659	81835
4	681	67469
5	899	74068
6	908	63994
7	1059	65185
8	1296	70744
9	1537	75347
10	1781	79187
11	1832	74535
12	1842	69040
13	1877	65166
14	2121	68603
15	2356	71296
16	2369	67313
17	2430	65094
18	2679	67822
19	2942	70630
20	2963	67587
21	3218	69932
22	3488	72351
23	3500	69418
24	3750	71268
25	3761	68567
26	3794	66481
27	4068	68578
28	4344	70559
29	4621	72403
30	4894	74045
31	5125	74963
32	5396	76363
33	5682	77888
34	5936	78875
35	6191	79806
36	6426	80414
37	6695	81406
38	6961	82284
39	7221	83050
40	7468	83608
41	7735	84356
42	7991	84927
43	8287	85890
44	8298	83910
45	8585	84738
46	8871	85504
47	9160	86258
48	9171	84415
49	9494	85448
50	9752	85863
51	10028	86395
52	10303	86895
53	10580	87383
54	10842	87729
55	11107	88065
56	11399	88598
57	11696	89133
58	11992	89639
59	12260	89907
60	12510	90034
61	12754	90107
62	13030	90385
63	13068	89029
64	13334	89241
65	13662	89840
66	13933	90050
67	14190	90152
68	14250	89012
69	14533	89274
70	14830	89608
71	15093	89722
72	15350	89787
73	15571	89641
74	15829	89699
75	16088	89759
76	16347	89803
77	16609	89860
78	16846	89778
79	17103	89795
80	17374	89876
81	17623	89834
82	17912	89993
83	18175	90010
84	18448	90070
85	18733	90182
86	19011	90251
87	19299	90356
88	19586	90451
89	19806	90228
90	20078	90244
91	20304	90045
92	20556	89963
93	20846	90040
94	21120	90040
95	21372	89941
96	21620	89825
97	21855	89652
98	22109	89553
99	22392	89571
100	22614	89340
101	22866	89223
102	23094	89015
103	23329	88832
104	23590	88744
105	23873	88737
106	24142	88671
107	24414	88614
108	24683	88543
109	24923	88365
110	25186	88267
111	25432	88106
112	25707	88041
113	25986	87988
114	26178	87642
115	26453	87570
116	26737	87523
117	26967	87300
118	27277	87332
119	27529	87176
120	27821	87144
121	28115	87112
122	28405	87064
123	28636	86834
124	28901	86704
125	29170	86584
126	29417	86399
127	29691	86290
128	29712	85451
129	30006	85403
130	30291	85325
131	30589	85278
132	30879	85209
133	31164	85121
134	31443	85013
135	31708	84866
136	31945	84644
137	32191	84443
138	32435	84239
139	32684	84046
140	32941	83872
141	33225	83765
142	33522	83689
143	33785	83526
144	34059	83387
145	34316	83205
146	34604	83098
147	34861	82914
148	35139	82778
149	35381	82556
150	35675	82455
151	35893	82176
152	36200	82101
153	36471	81941
154	36765	81832
155	37023	81641
156	37326	81547
157	37618	81427
158	37925	81337
159	38230	81240
160	38534	81138
161	38803	80959
162	39054	80744
163	39332	80582
164	39575	80350
165	39855	80190
166	40138	80036
167	40385	79809
168	40649	79615
169	40907	79409
170	41148	79168
171	41413	78975
172	41689	78799
173	41950	78596
174	42148	78275
175	42384	78026
176	42651	77832
177	42864	77540
178	43065	77228
179	43296	76970
180	43519	76699
181	43779	76494
182	44018	76250
183	44280	76047
184	44509	75785
185	44770	75580
186	45046	75399
187	45333	75234
188	45570	74985
189	45836	74785
190	46050	74501
191	46303	74277
192	46564	74069
193	46781	73790
194	47056	73600
195	47281	73335
196	47540	73120
197	47796	72901
198	48048	72676
199	48252	72378
200	48504	72152
201	48770	71948
202	48994	71681
203	49246	71455
204	49448	71158
205	49658	70872
206	49905	70638
207	50128	70372
208	50391	70162
209	50626	69913
210	50914	69735
211	51151	69488
212	51371	69219
213	51571	68922
214	51788	68649
215	52032	68412
216	52235	68123
217	52477	67884
218	52694	67612
219	52889	67313
220	53116	67056
221	53345	66802
222	53571	66544
223	53815	66308
224	54038	66046
225	54244	65765
226	54498	65542
227	54747	65312
228	54974	65057
229	55187	64785
230	55390	64502
231	55656	64293
232	55866	64018
233	56082	63752
234	56297	63484
235	56541	63249
236	56765	62992
237	57002	62750
238	57227	62494
239	57475	62265
240	57709	62019
241	57928	61758
242	58129	61478
243	58344	61213
244	58573	60964
245	58784	60696
246	59005	60438
247	59218	60173
248	59501	59979
249	59695	59695
250	59911	59434
251	60111	59157
252	60329	58899
253	60611	58702
254	60839	58453
255	61090	58226
256	61322	57981
257	61580	57761
258	61823	57526
259	62070	57296
260	62314	57062
261	62549	56819
262	62770	56565
263	62969	56290
264	63199	56044
265	63415	55786
266	63647	55542
267	63863	55285
268	64107	55051
269	64326	54796
270	64558	54552
271	64773	54295
272	65006	54053
273	65221	53796
274	65441	53543
275	65722	53340
276	65953	53095
277	66146	52822
278	66343	52551
279	66541	52282
280	66752	52024
281	66988	51785
282	67214	51538
283	67416	51274
284	67630	51019
285	67839	50760
286	68054	50507
287	68263	50249
288	68495	50008
289	68734	49773
290	68959	49527
291	69160	49264
292	69416	49041
293	69639	48795
294	69865	48550
295	70080	48298
296	70332	48072
297	70586	47847
298	70804	47597
299	71058	47372
300	71270	47119
301	71490	46871
302	71702	46618
303	71965	46398
304	72202	46162
305	72429	45919
306	72646	45670
307	72855	45416
308	73085	45175
309	73297	44924
310	73522	44680
311	73748	44437
312	73996	44208
313	74206	43956
314	74482	43743
315	74714	43504
316	74913	43246
317	75182	43028
318	75376	42768
319	75576	42511
320	75803	42270
321	76027	42027
322	76227	41771
323	76457	41532
324	76682	41290
325	76979	41087
326	77202	40843
327	77421	40598
328	77666	40367
329	77891	40126
330	78124	39888
331	78403	39673
332	78653	39444
333	78877	39202
334	79085	38952
335	79370	38740
336	79594	38497
337	79805	38250
338	80013	38000
339	80237	37758
340	80428	37501
341	80631	37250
342	80858	37011
343	81105	36780
344	81305	36528
345	81513	36280
346	81749	36045
347	82001	35816
348	82246	35585
349	82452	35336
350	82651	35085
351	82895	34853
352	83108	34608
353	83382	34389
354	83590	34142
355	83806	33899
356	84078	33678
357	84294	33435
358	84519	33195
359	84718	32945
360	84945	32707
361	85189	32475
362	85398	32230
363	85601	31982
364	85818	31741
365	86080	31515
366	86322	31282
367	86538	31041
368	86751	30797
369	86961	30554
370	87188	30316
371	87399	30072
372	87596	29825
373	87818	29586
374	88058	29352
375	88304	29121
376	88536	28885
377	88759	28647
378	88964	28402
379	89236	28179
380	89439	27935
381	89635	27688
382	89876	27455
383	90141	27230
384	90375	26995
385	90612	26761
386	90885	26537
387	91099	26296
388	91330	26060
389	91534	25817
390	91813	25594
391	92016	25351
392	92265	25120
393	92469	24877
394	92697	24641
395	92912	24401
396	93124	24160
397	93378	23931
398	93633	23701
399	93841	23460
400	94052	23219
401	94257	22978
402	94481	22741
403	94778	22521
404	95025	22289
405	95259	22055
406	95467	21814
407	95709	21581
408	95918	21341
409	96166	21109
410	96394	20873
411	96644	20642
412	96853	20402
413	97149	20180
414	97410	19951
415	97640	19715
416	97935	19493
417	98173	19258
418	98400	19022
419	98651	18790
420	98866	18552
421	99146	18325
422	99401	18094
423	99651	17862
424	99916	17632
425	100122	17392
426	100426	17168
427	100644	16930
428	100892	16697
429	101111	16460
430	101358	16226
431	101624	15996
432	101867	15762
433	102073	15522
434	102312	15288
435	102536	15051
436	102797	14819
437	103027	14583
438	103268	14349
439	103531	14117
440	103751	13880
441	103995	13646
442	104242	13412
443	104506	13180
444	104735	12944
445	104954	12707
446	105267	12481
447	105493	12244
448	105710	12007
449	105997	11777
450	106238	11542
451	106467	11306
452	106733	11073
453	106951	10836
454	107216	10603
455	107489	10371
456	107741	10137
457	107968	9901
458	108175	9662
459	108394	9425
460	108604	9187
461	108858	8953
462	109073	8716
463	109283	8478
464	109532	8244
465	109739	8006
466	109958	7770
467	110175	7533
468	110418	7298
469	110662	7063
470	110876	6826
471	111080	6589
