Column,DataType,MissingValues,MissingPercent
msisdn,int64,0,0.0
gender,str,0,0.0
age,int64,0,0.0
age_band,str,0,0.0
region,str,0,0.0
district,str,0,0.0
handsetcategory,str,0,0.0
handsetsegment,str,0,0.0
smartphoneindicator,str,0,0.0
os_type,str,0,0.0
age_days,int64,0,0.0
tenure_months,int64,0,0.0
tenure_band,str,0,0.0
voice_calls_cnt,int64,0,0.0
voice_calls_cnt_l30d,int64,0,0.0
is_consistent_voice_user,int64,0,0.0
data_mb,float64,0,0.0
data_mb_l30d,float64,0,0.0
data_mb_l60d,float64,0,0.0
data_spend,float64,0,0.0
data_spend_l30d,float64,0,0.0
data_active_months,int64,0,0.0
days_since_last_data,int64,0,0.0
data_volume_trend,float64,0,0.0
is_heavy_data_user,int64,0,0.0
recharge_count,int64,0,0.0
recharge_count_l30d,int64,0,0.0
recharge_amt,float64,0,0.0
avg_recharge_amt,float64,0,0.0
days_since_last_recharge,int64,0,0.0
is_micro_recharger,int64,0,0.0
total_spend,float64,0,0.0
total_spend_l30d,float64,0,0.0
total_spend_l60d,float64,0,0.0
total_active_months,int64,0,0.0
total_active_days,int64,0,0.0
total_spend_trend,float64,0,0.0
vas_share_of_wallet,float64,0,0.0
total_vas_rev,float64,0,0.0
total_vas_rev_l30d,float64,0,0.0
total_vas_rev_l60d,float64,0,0.0
total_vas_events,int64,0,0.0
vas_active_months,int64,0,0.0
distinct_vas_products,int64,0,0.0
distinct_vas_categories,int64,0,0.0
days_since_last_vas_txn,int64,0,0.0
vas_revenue_trend,float64,0,0.0
ever_used_crbt,int64,0,0.0
crbt_rev,float64,0,0.0
crbt_rev_l30d,float64,0,0.0
crbt_events,int64,0,0.0
crbt_active_months,int64,0,0.0
crbt_distinct_products,int64,0,0.0
days_since_last_crbt,int64,0,0.0
crbt_consistent_user,int64,0,0.0
ever_used_digital,int64,0,0.0
digital_rev,float64,0,0.0
digital_rev_l30d,float64,0,0.0
digital_events,int64,0,0.0
digital_active_months,int64,0,0.0
digital_distinct_products,int64,0,0.0
digital_distinct_vendors,int64,0,0.0
days_since_last_digital,int64,0,0.0
digital_consistent_user,int64,0,0.0
ever_used_trad,int64,0,0.0
trad_rev,float64,0,0.0
trad_rev_l30d,float64,0,0.0
trad_events,int64,0,0.0
trad_active_months,int64,0,0.0
trad_distinct_products,int64,0,0.0
days_since_last_trad,int64,0,0.0
trad_consistent_user,int64,0,0.0
is_sos_frequent,int64,0,0.0
distinct_menus_used,int64,0,0.0
used_crbt_menu,int64,0,0.0
used_sms_menu,int64,0,0.0
used_digital_menu,int64,0,0.0
distinct_offers_used,int64,0,0.0
total_distinct_vendors,int64,0,0.0
total_distinct_products_all,int64,0,0.0
total_bundle_sub_events,int64,0,0.0
peers_on_same_service,int64,0,0.0
peers_with_crbt,int64,0,0.0
peers_with_digital,int64,0,0.0
pct_peers_with_crbt,float64,0,0.0
pct_peers_with_any_vas,float64,0,0.0
vas_category_diversity,int64,0,0.0
total_consistent_categories,int64,0,0.0
crbt_peer_exposed,int64,0,0.0
digital_upsell_prospect,int64,0,0.0
is_price_sensitive,int64,0,0.0
label_any_vas,int64,0,0.0
label_crbt,int64,0,0.0
label_digital,int64,0,0.0
label_traditional,int64,0,0.0
label_sms_bundle,int64,0,0.0
label_product_name,str,841,16.82
extraction_date,str,0,0.0
