Feature,Importance
digital_rev_l30d,14.310408942927348
total_active_days,14.266570749088627
trad_active_months,13.841130031803411
data_spend_l30d,13.549908720571697
crbt_active_months,12.501877221710552
trad_events,11.377332516384447
total_spend,10.18245084981318
total_spend_l60d,9.970320967700724
region,0.0
age,0.0
gender,0.0
tenure_months,0.0
tenure_band,0.0
voice_calls_cnt_l30d,0.0
voice_calls_cnt,0.0
data_mb,0.0
data_mb_l30d,0.0
data_mb_l60d,0.0
is_consistent_voice_user,0.0
data_spend,0.0
district,0.0
handsetcategory,0.0
handsetsegment,0.0
smartphoneindicator,0.0
os_type,0.0
age_days,0.0
age_band,0.0
recharge_amt,0.0
recharge_count_l30d,0.0
recharge_count,0.0
is_heavy_data_user,0.0
data_volume_trend,0.0
days_since_last_data,0.0
data_active_months,0.0
days_since_last_recharge,0.0
total_spend_trend,0.0
vas_share_of_wallet,0.0
total_vas_rev,0.0
total_vas_rev_l30d,0.0
total_vas_rev_l60d,0.0
total_vas_events,0.0
is_micro_recharger,0.0
avg_recharge_amt,0.0
distinct_vas_products,0.0
vas_active_months,0.0
ever_used_crbt,0.0
distinct_vas_categories,0.0
crbt_rev,0.0
crbt_rev_l30d,0.0
crbt_events,0.0
vas_revenue_trend,0.0
crbt_distinct_products,0.0
days_since_last_crbt,0.0
ever_used_digital,0.0
crbt_consistent_user,0.0
digital_rev,0.0
digital_events,0.0
total_spend_l30d,0.0
total_active_months,0.0
digital_distinct_products,0.0
digital_active_months,0.0
digital_distinct_vendors,0.0
days_since_last_digital,0.0
ever_used_trad,0.0
digital_consistent_user,0.0
trad_rev_l30d,0.0
trad_rev,0.0
trad_distinct_products,0.0
days_since_last_trad,0.0
trad_consistent_user,0.0
is_sos_frequent,0.0
distinct_menus_used,0.0
used_crbt_menu,0.0
used_sms_menu,0.0
used_digital_menu,0.0
distinct_offers_used,0.0
total_distinct_vendors,0.0
total_distinct_products_all,0.0
total_bundle_sub_events,0.0
peers_on_same_service,0.0
peers_with_crbt,0.0
peers_with_digital,0.0
pct_peers_with_crbt,0.0
pct_peers_with_any_vas,0.0
vas_category_diversity,0.0
total_consistent_categories,0.0
crbt_peer_exposed,0.0
digital_upsell_prospect,0.0
is_price_sensitive,0.0
extraction_date,0.0
CustomerSegment,0.0
