Feature,Importance
digital_consistent_user,9.347675177489657
data_mb_l60d,3.5978701926591494
data_mb,2.767484644947864
handsetsegment,2.4985687147670466
region,2.397884077245942
recharge_count_l30d,2.33750830578226
digital_rev_l30d,2.28907493122377
distinct_offers_used,2.2095879170166888
district,2.0566978917516927
data_volume_trend,2.0200904287070105
voice_calls_cnt_l30d,2.018689673085657
crbt_rev,1.913864420496857
distinct_menus_used,1.7329858108101486
days_since_last_digital,1.6531013347060843
trad_rev,1.57326947336986
total_consistent_categories,1.5077887641157064
digital_distinct_products,1.5032115562982191
os_type,1.469254479972928
age_band,1.4686853676305243
data_active_months,1.4555471604730195
total_bundle_sub_events,1.4544190427806438
days_since_last_vas_txn,1.4501412650721073
trad_active_months,1.3995831064498923
total_vas_rev,1.3673082717711136
total_vas_events,1.3596845432135618
total_spend_l60d,1.3145882099624653
is_price_sensitive,1.3138770122757022
peers_with_crbt,1.3074956719278474
age,1.3049464740967396
recharge_amt,1.2942033656050915
pct_peers_with_any_vas,1.271572171613363
total_active_months,1.2217628771703155
gender,1.2216239014384151
pct_peers_with_crbt,1.1821362548476855
avg_recharge_amt,1.1805608265139282
total_spend_l30d,1.1762201858796444
smartphoneindicator,1.1466681462555148
total_distinct_vendors,1.1403769683269813
digital_rev,1.1319489375183833
total_vas_rev_l60d,1.098518225698555
recharge_count,1.0915400263776847
trad_events,1.0856373235744463
peers_on_same_service,1.0770329484606471
days_since_last_recharge,1.0668601660265846
total_distinct_products_all,1.0642954475228972
vas_revenue_trend,1.051229982421807
days_since_last_trad,1.0385605678306493
digital_events,1.0292742325042645
crbt_rev_l30d,1.0151247261653715
total_active_days,0.9830385965150296
voice_calls_cnt,0.9539929993685544
distinct_vas_categories,0.9345199038553199
tenure_band,0.9228874124982348
tenure_months,0.914723433919834
total_spend,0.8910581500112034
trad_distinct_products,0.8682303267047067
vas_share_of_wallet,0.8303810026154587
days_since_last_data,0.8255913579647522
age_days,0.8068427518860957
data_spend_l30d,0.7201251064296218
digital_distinct_vendors,0.6932198136385254
peers_with_digital,0.6873648008237706
vas_category_diversity,0.6840866062631556
crbt_active_months,0.6776424326085165
total_spend_trend,0.5837540318127613
handsetcategory,0.5606951072458201
days_since_last_crbt,0.4788485774853197
data_mb_l30d,0.456347813160579
data_spend,0.3983791571976693
is_heavy_data_user,0.3908727574901481
distinct_vas_products,0.3803496232118732
vas_active_months,0.3556674687576215
ever_used_trad,0.31572824200968114
crbt_events,0.26297664913379937
digital_active_months,0.24944042486313608
total_vas_rev_l30d,0.20792772436909138
is_sos_frequent,0.19057541593309374
crbt_distinct_products,0.09870111037421703
is_consistent_voice_user,0.0
is_micro_recharger,0.0
crbt_consistent_user,0.0
ever_used_digital,0.0
ever_used_crbt,0.0
trad_rev_l30d,0.0
used_digital_menu,0.0
used_sms_menu,0.0
used_crbt_menu,0.0
trad_consistent_user,0.0
crbt_peer_exposed,0.0
digital_upsell_prospect,0.0
extraction_date,0.0
CustomerSegment,0.0
